marker	LG	gPos	gOrder	chr	pPos	pOrder
1A_4443927	1A	56.72552548	45	1A	4443927	38
1A_6226898	1A	56.72552548	46	1A	6226898	56
1A_4312313	1A	59.822591	47	1A	4312313	36
1A_4679629	1A	59.822591	48	1A	4679629	46
1A_5090379	1A	59.822591	49	1A	5090379	50
1A_6364606	1A	59.822591	50	1A	6364606	58
1A_6528295	1A	59.822591	51	1A	6528295	59
1A_7570203	1A	59.822591	52	1A	7570203	62
1A_6549799	1A	62.01961179	53	1A	6549799	60
1A_4573992	1A	63.66116537	54	1A	4573992	42
1A_4576261	1A	63.66116537	55	1A	4576261	44
1A_5674170	1A	63.66116537	56	1A	5674170	54
1A_4572176	1A	63.66116537	57	1A	4572176	41
1A_4456662	1A	65.74430947	58	1A	4456662	39
1A_5472933	1A	65.74430947	59	1A	5472933	53
1A_5017515	1A	67.61672304	60	1A	5017515	49
1A_5349560	1A	69.89712739	61	1A	5349560	52
1A_4231902	1A	69.89712739	62	1A	4231902	35
1A_4220088	1A	69.89712739	63	1A	4220088	34
1A_7545456	1A	79.72315381	64	1A	7545456	61
1B_18150969	1A	79.72315381	65	1B	18150969	516
1A_8909595	1A	79.72315381	66	1A	8909595	63
1A_10794317	1A	85.30702884	67	1A	10794317	73
1A_10784097	1A	90.19930068	68	1A	10784097	71
1A_11316641	1A	90.19930068	69	1A	11316641	75
1A_9744952	1A	94.42136165	70	1A	9744952	64
1A_9893070	1A	98.54167757	71	1A	9893070	65
2A_82841231	1A	98.54167757	72	2A	82841231	880
1A_10707295	1A	98.54167757	73	1A	10707295	70
1A_10423432	1A	98.54167757	74	1A	10423432	68
1A_10423513	1A	98.54167757	75	1A	10423513	69
1A_11235526	1A	98.54167757	76	1A	11235526	74
1A_11585523	1A	102.4391031	77	1A	11585523	76
7A_147750783	1A	106.8179921	78	7A	147750783	6105
1A_15634596	1A	109.7340614	79	1A	15634596	97
1A_13379765	1A	109.7340614	80	1A	13379765	86
1A_13459159	1A	109.7340614	81	1A	13459159	88
1A_10413195	1A	109.7340614	82	1A	10413195	67
1A_11685589	1A	113.21938	83	1A	11685589	79
1A_12831294	1A	113.21938	84	1A	12831294	83
1A_16728081	1A	113.21938	85	1A	16728081	99
1A_13047224	1A	113.21938	86	1A	13047224	84
1A_16744250	1A	113.21938	87	1A	16744250	100
7B_247893244	1A	113.21938	88	7B	247893244	6597
1A_12730232	1A	113.21938	89	1A	12730232	81
1A_12730336	1A	113.21938	90	1A	12730336	82
1A_14295170	1A	113.21938	91	1A	14295170	90
1A_11628507	1A	116.235684	92	1A	11628507	77
1A_14944495	1A	118.9144775	93	1A	14944495	92
1A_15057102	1A	118.9144775	94	1A	15057102	94
1A_11711351	1A	118.9144775	95	1A	11711351	80
1A_11667172	1A	118.9144775	96	1A	11667172	78
1A_15276883	1A	118.9144775	97	1A	15276883	95
1A_15868233	1A	121.9477058	98	1A	15868233	98
1A_13476771	1A	121.9477058	99	1A	13476771	89
1A_13394760	1A	121.9477058	100	1A	13394760	87
1A_13238969	1A	124.4768144	101	1A	13238969	85
1A_15010142	1A	126.7380551	102	1A	15010142	93
1A_14561883	1A	126.7380551	103	1A	14561883	91
1A_18190621	1A	126.7380551	104	1A	18190621	104
1A_15578454	1A	128.9891189	105	1A	15578454	96
1A_30488075	1A	131.9370705	106	1A	30488075	119
1A_104268427	1A	131.9370705	107	1A	104268427	181
1A_18175773	1A	131.9370705	108	1A	18175773	103
1A_18724034	1A	131.9370705	109	1A	18724034	105
1A_29609902	1A	131.9370705	110	1A	29609902	115
1A_17389121	1A	131.9370705	111	1A	17389121	101
1A_32209188	1A	131.9370705	112	1A	32209188	122
1A_29665414	1A	131.9370705	113	1A	29665414	116
1A_20201562	1A	131.9370705	114	1A	20201562	107
1A_30034747	1A	131.9370705	115	1A	30034747	118
1A_32168010	1A	131.9370705	116	1A	32168010	120
1A_17648681	1A	131.9370705	117	1A	17648681	102
1A_102788994	1A	131.9370705	118	1A	102788994	180
1A_154457912	1A	131.9370705	119	1A	154457912	208
1A_18830712	1A	134.8176514	120	1A	18830712	106
1A_110111590	1A	137.4235235	121	1A	110111590	185
1A_27908152	1A	137.4235235	122	1A	27908152	114
1A_30033013	1A	137.4235235	123	1A	30033013	117
1A_116018094	1A	137.4235235	124	1A	116018094	191
1A_167257265	1A	137.4235235	125	1A	167257265	216
1A_115108533	1A	139.9085096	126	1A	115108533	190
1A_153504517	1A	139.9085096	127	1A	153504517	207
1A_156597001	1A	142.5130197	128	1A	156597001	210
1A_123182585	1A	142.5130197	129	1A	123182585	196
1A_134539934	1A	142.5130197	130	1A	134539934	201
1A_119852546	1A	142.5130197	131	1A	119852546	193
1A_113312932	1A	142.5130197	132	1A	113312932	188
1A_117903491	1A	142.5130197	133	1A	117903491	192
1A_169247580	1A	142.5130197	134	1A	169247580	218
1A_96216475	1A	142.5130197	135	1A	96216475	177
1A_110348395	1A	142.5130197	136	1A	110348395	186
1B_122560414	1A	142.5130197	137	1B	122560414	527
1A_105314374	1A	142.5130197	138	1A	105314374	183
1A_123089986	1A	142.5130197	139	1A	123089986	195
1A_112772327	1A	142.5130197	140	1A	112772327	187
1A_162104620	1A	144.5514585	141	1A	162104620	213
1A_27052792	1A	144.5514585	142	1A	27052792	112
1A_42807168	1A	144.5514585	143	1A	42807168	131
1A_182064581	1A	144.5514585	144	1A	182064581	228
1A_131741322	1A	144.5514585	145	1A	131741322	199
1A_136222932	1A	144.5514585	146	1A	136222932	202
1A_37992634	1A	144.5514585	147	1A	37992634	128
1A_160279216	1A	144.5514585	148	1A	160279216	212
1A_25204726	1A	144.5514585	149	1A	25204726	111
1A_162403497	1A	144.5514585	150	1A	162403497	214
1A_151664824	1A	144.5514585	151	1A	151664824	206
1A_169065664	1A	144.5514585	152	1A	169065664	217
1A_167137549	1A	144.5514585	153	1A	167137549	215
1A_137557437	1A	144.5514585	154	1A	137557437	203
1A_52185729	1A	147.3289406	155	1A	52185729	139
1A_73579863	1A	147.3289406	156	1A	73579863	162
1A_54275735	1A	147.3289406	157	1A	54275735	143
1A_105267180	1A	147.3289406	158	1A	105267180	182
1A_130792682	1A	147.3289406	159	1A	130792682	198
1A_21595636	1A	147.3289406	160	1A	21595636	108
1A_48573651	1A	147.3289406	161	1A	48573651	136
1A_177718153	1A	147.3289406	162	1A	177718153	224
1A_172541839	1A	147.3289406	163	1A	172541839	220
1A_203463730	1A	147.3289406	164	1A	203463730	260
1A_64162698	1A	147.3289406	165	1A	64162698	155
1A_129382885	1A	147.3289406	166	1A	129382885	197
4A_161492966	1A	147.3289406	167	4A	161492966	3201
1A_61589338	1A	147.3289406	168	1A	61589338	151
1A_174440405	1A	147.3289406	169	1A	174440405	221
1A_102605954	1A	147.3289406	170	1A	102605954	179
1A_27276266	1A	147.3289406	171	1A	27276266	113
1A_90469979	1A	147.3289406	172	1A	90469979	173
1A_108272236	1A	147.3289406	173	1A	108272236	184
1A_45078612	1A	147.3289406	174	1A	45078612	134
1A_60606917	1A	147.3289406	175	1A	60606917	150
1A_34949503	1A	147.3289406	176	1A	34949503	125
1A_52199569	1A	147.3289406	177	1A	52199569	140
1A_40000753	1A	147.3289406	178	1A	40000753	130
1A_84404959	1A	147.3289406	179	1A	84404959	168
1A_90466741	1A	147.3289406	180	1A	90466741	172
1A_177173977	1A	147.3289406	181	1A	177173977	222
1A_23114866	1A	147.3289406	182	1A	23114866	109
1A_34949403	1A	147.3289406	183	1A	34949403	124
1A_121357715	1A	147.3289406	184	1A	121357715	194
1A_114066635	1A	147.3289406	185	1A	114066635	189
1A_132464121	1A	147.3289406	186	1A	132464121	200
1A_53180826	1A	150.1668677	187	1A	53180826	141
1A_55535014	1A	150.1668677	188	1A	55535014	147
1A_56515892	1A	150.1668677	189	1A	56515892	148
1A_44343997	1A	150.1668677	190	1A	44343997	132
1A_55330577	1A	150.1668677	191	1A	55330577	145
1A_64445963	1A	150.1668677	192	1A	64445963	156
1A_80441736	1A	150.1668677	193	1A	80441736	164
1A_55532214	1A	150.1668677	194	1A	55532214	146
1A_39065531	1A	150.1668677	195	1A	39065531	129
1A_55075384	1A	150.1668677	196	1A	55075384	144
1A_44942718	1A	150.1668677	197	1A	44942718	133
1A_68698092	1A	150.1668677	198	1A	68698092	159
1A_63868506	1A	150.1668677	199	1A	63868506	154
1A_70995343	1A	152.3825501	200	1A	70995343	160
1B_134040737	1A	154.1259525	201	1B	134040737	530
1A_63334782	1A	155.9076718	202	1A	63334782	153
1A_90052521	1A	155.9076718	203	1A	90052521	171
1A_65895078	1A	157.8155756	204	1A	65895078	157
1A_71682293	1A	157.8155756	205	1A	71682293	161
1A_52108440	1A	157.8155756	206	1A	52108440	138
1A_54018483	1A	159.3830443	207	1A	54018483	142
1A_92404978	1A	161.6592858	208	1A	92404978	175
1B_149637930	1A	161.6592858	209	1B	149637930	531
1A_182805848	1A	161.6592858	210	1A	182805848	232
1B_131650528	1A	161.6592858	211	1B	131650528	529
1A_182799140	1A	161.6592858	212	1A	182799140	231
1A_192695841	1A	161.6592858	213	1A	192695841	249
1A_84315086	1A	161.6592858	214	1A	84315086	167
1A_183644482	1A	161.6592858	215	1A	183644482	234
1A_187595714	1A	161.6592858	216	1A	187595714	243
1A_196750358	1A	161.6592858	217	1A	196750358	255
1A_182542054	1A	161.6592858	218	1A	182542054	229
1B_182745467	1A	161.6592858	219	1B	182745467	536
1A_92405103	1A	161.6592858	220	1A	92405103	176
1B_182745598	1A	161.6592858	221	1B	182745598	537
1A_198986878	1A	165.8273835	222	1A	198986878	258
1A_67131138	1A	169.3219986	223	1A	67131138	158
1A_34172941	1A	169.3219986	224	1A	34172941	123
1A_192346075	1A	171.6798946	225	1A	192346075	248
1A_194291662	1A	171.6798946	226	1A	194291662	251
1A_194924745	1A	173.55691	227	1A	194924745	254
1A_194523686	1A	173.55691	228	1A	194523686	253
1A_183728370	1A	174.7838609	229	1A	183728370	235
1A_179577895	1A	176.2226318	230	1A	179577895	226
1A_180313643	1A	176.2226318	231	1A	180313643	227
1A_186680665	1A	176.2226318	232	1A	186680665	242
1A_179310951	1A	176.2226318	233	1A	179310951	225
1A_186677690	1A	176.2226318	234	1A	186677690	241
1A_185448175	1A	176.2226318	235	1A	185448175	239
1A_74562661	1A	179.4992412	236	1A	74562661	163
1A_82437194	1A	179.4992412	237	1A	82437194	166
1A_191622701	1A	179.4992412	238	1A	191622701	247
3A_94859769	1A	179.4992412	239	3A	94859769	1993
2A_228406981	1A	179.4992412	240	2A	228406981	1104
3A_60063709	1A	179.4992412	241	3A	60063709	1974
1A_184625028	1A	179.4992412	242	1A	184625028	238
1A_49821307	1A	179.4992412	243	1A	49821307	137
1A_184572964	1A	179.4992412	244	1A	184572964	237
1A_188783050	1A	179.4992412	245	1A	188783050	245
1A_35387840	1A	179.4992412	246	1A	35387840	126
1B_211911282	1A	181.835721	247	1B	211911282	540
1A_188068283	1A	181.835721	248	1A	188068283	244
4A_24551499	1A	181.835721	249	4A	24551499	3079
1A_199998336	1A	181.835721	250	1A	199998336	259
1A_198092194	1A	181.835721	251	1A	198092194	257
1A_194096445	1A	183.8250273	252	1A	194096445	250
1A_185460180	1A	185.2885031	253	1A	185460180	240
1A_206575947	1A	186.524731	254	1A	206575947	263
1A_190445861	1A	186.524731	255	1A	190445861	246
1A_194477722	1A	188.3966608	256	1A	194477722	252
1A_205551958	1A	188.3966608	257	1A	205551958	261
1A_183388754	1A	188.3966608	258	1A	183388754	233
5A_56802562	1A	188.3966608	259	5A	56802562	3897
7A_171607569	1A	190.8282258	260	7A	171607569	6236
1A_182656907	1A	190.8282258	261	1A	182656907	230
1A_205713860	1A	195.9677981	262	1A	205713860	262
1A_211134159	1A	195.9677981	263	1A	211134159	273
1A_211052939	1A	198.5007132	264	1A	211052939	272
1A_210374024	1A	198.5007132	265	1A	210374024	270
1A_210371411	1A	198.5007132	266	1A	210371411	269
1A_209396312	1A	201.2159461	267	1A	209396312	264
1A_213643487	1A	201.2159461	268	1A	213643487	279
1A_218254492	1A	204.432098	269	1A	218254492	291
1A_215665125	1A	207.5719736	270	1A	215665125	284
1A_211927884	1A	207.5719736	271	1A	211927884	275
1A_209634676	1A	209.8281167	272	1A	209634676	266
1A_209631586	1A	209.8281167	273	1A	209631586	265
1A_212535065	1A	211.8071134	274	1A	212535065	277
1A_211303076	1A	214.823232	275	1A	211303076	274
1A_212318589	1A	214.823232	276	1A	212318589	276
1A_215215020	1A	217.9511787	277	1A	215215020	280
1A_213225683	1A	217.9511787	278	1A	213225683	278
1A_215480194	1A	217.9511787	279	1A	215480194	283
1A_215269362	1A	217.9511787	280	1A	215269362	281
1A_210344214	1A	217.9511787	281	1A	210344214	268
1A_217138091	1A	221.659106	282	1A	217138091	288
1A_215472017	1A	221.659106	283	1A	215472017	282
1A_216984842	1A	224.7274402	284	1A	216984842	287
1A_215724691	1A	224.7274402	285	1A	215724691	285
1A_216069324	1A	224.7274402	286	1A	216069324	286
1A_210530408	1A	224.7274402	287	1A	210530408	271
1A_217898006	1A	227.7821038	288	1A	217898006	289
1A_219281135	1A	231.1861288	289	1A	219281135	295
1A_218671459	1A	231.1861288	290	1A	218671459	293
1A_218900680	1A	231.1861288	291	1A	218900680	294
1A_219367505	1A	231.1861288	292	1A	219367505	296
1A_220583865	1A	234.5517594	293	1A	220583865	299
1A_219620848	1A	238.7565637	294	1A	219620848	298
1A_223071293	1A	241.641625	295	1A	223071293	304
1A_224009263	1A	241.641625	296	1A	224009263	310
1A_220616665	1A	245.0603979	297	1A	220616665	300
1A_219480924	1A	245.0603979	298	1A	219480924	297
1A_223919543	1A	245.0603979	299	1A	223919543	309
1B_241599403	1A	245.0603979	300	1B	241599403	547
1A_221643451	1A	245.0603979	301	1A	221643451	301
1A_218455282	1A	245.0603979	302	1A	218455282	292
1A_222987339	1A	248.8146834	303	1A	222987339	303
1A_223136539	1A	248.8146834	304	1A	223136539	305
1A_223508129	1A	248.8146834	305	1A	223508129	307
1A_222831225	1A	251.5993982	306	1A	222831225	302
1A_223553734	1A	251.5993982	307	1A	223553734	308
1A_223235381	1A	253.5763462	308	1A	223235381	306
1A_224130587	1A	253.5763462	309	1A	224130587	311
1A_225197401	1A	255.7878233	310	1A	225197401	316
1A_225638256	1A	255.7878233	311	1A	225638256	320
1A_225355524	1A	255.7878233	312	1A	225355524	318
1A_225215378	1A	255.7878233	313	1A	225215378	317
1A_224909030	1A	255.7878233	314	1A	224909030	314
1A_225025971	1A	257.6556768	315	1A	225025971	315
1A_224539026	1A	259.4877954	316	1A	224539026	313
1A_224523051	1A	261.3405288	317	1A	224523051	312
1A_225862091	1A	261.3405288	318	1A	225862091	321
1A_225554037	1A	261.3405288	319	1A	225554037	319
1A_228134485	1A	264.1879628	320	1A	228134485	331
1A_227164261	1A	265.3543437	321	1A	227164261	325
1A_227172237	1A	265.3543437	322	1A	227172237	326
1A_227183216	1A	265.3543437	323	1A	227183216	327
1A_227556758	1A	266.7683394	324	1A	227556758	329
1A_226413193	1A	269.7175239	325	1A	226413193	322
1A_227700580	1A	269.7175239	326	1A	227700580	330
1A_228226219	1A	269.7175239	327	1A	228226219	332
1A_228374571	1A	269.7175239	328	1A	228374571	333
1B_256833684	1A	269.7175239	329	1B	256833684	551
1A_227244891	1A	269.7175239	330	1A	227244891	328
1A_226414935	1A	269.7175239	331	1A	226414935	323
1B_256681607	1A	273.1265057	332	1B	256681607	550
1A_229111024	1A	273.1265057	333	1A	229111024	334
1A_230815128	1A	276.5628367	334	1A	230815128	348
1A_227108303	1A	276.5628367	335	1A	227108303	324
4B_242627970	1A	276.5628367	336	4B	242627970	3675
1A_229206152	1A	276.5628367	337	1A	229206152	335
1A_230484137	1A	280.0552518	338	1A	230484137	343
1A_230523467	1A	280.0552518	339	1A	230523467	344
1A_230807567	1A	280.0552518	340	1A	230807567	347
1A_231343383	1A	285.2525615	341	1A	231343383	349
1A_229966597	1A	285.2525615	342	1A	229966597	337
1A_230259264	1A	285.2525615	343	1A	230259264	341
1A_230259089	1A	285.2525615	344	1A	230259089	340
1A_231369877	1A	288.5665227	345	1A	231369877	350
1A_231371970	1A	288.5665227	346	1A	231371970	351
1A_230551900	1A	292.6851429	347	1A	230551900	345
1A_230015856	1A	296.6522254	348	1A	230015856	338
4A_193287707	1A	296.6522254	349	4A	193287707	3322
1A_230720555	1A	301.2405053	350	1A	230720555	346
1A_230216865	1A	301.2405053	351	1A	230216865	339
1A_229492537	1A	301.2405053	352	1A	229492537	336
1A_232272353	1A	304.1073841	353	1A	232272353	357
1A_234722253	1A	306.8262456	354	1A	234722253	370
1A_231695017	1A	306.8262456	355	1A	231695017	352
1A_233012003	1A	306.8262456	356	1A	233012003	364
1A_232326358	1A	306.8262456	357	1A	232326358	359
1A_232406580	1A	306.8262456	358	1A	232406580	360
1A_232771917	1A	306.8262456	359	1A	232771917	361
3A_91931947	1A	306.8262456	360	3A	91931947	1988
1A_230290291	1A	311.1135045	361	1A	230290291	342
1A_231923075	1A	315.226727	362	1A	231923075	353
1A_232299766	1A	318.2697416	363	1A	232299766	358
1A_233056947	1A	321.4603651	364	1A	233056947	366
1A_234591558	1A	323.8885761	365	1A	234591558	369
1A_232055377	1A	323.8885761	366	1A	232055377	355
1A_233056826	1A	323.8885761	367	1A	233056826	365
1A_232103896	1A	323.8885761	368	1A	232103896	356
1A_233881592	1A	323.8885761	369	1A	233881592	368
1A_233010859	1A	323.8885761	370	1A	233010859	363
1B_268840467	1A	327.33151	371	1B	268840467	561
1A_236709102	1A	330.9902691	372	1A	236709102	384
1A_233820987	1A	333.3991341	373	1A	233820987	367
1A_234765701	1A	336.0525896	374	1A	234765701	371
3B_113824484	1A	342.5922259	375	3B	113824484	2441
1A_235101148	1A	342.5922259	376	1A	235101148	374
1A_236304626	1A	348.6865377	377	1A	236304626	382
6B_181938177	1A	354.4959199	378	6B	181938177	5610
1A_235646257	1A	354.4959199	379	1A	235646257	376
1A_236057646	1A	354.4959199	380	1A	236057646	379
1A_236291852	1A	354.4959199	381	1A	236291852	381
6A_5931154	1A	354.4959199	382	6A	5931154	4930
1A_236059798	1A	354.4959199	383	1A	236059798	380
1A_235367416	1A	354.4959199	384	1A	235367416	375
1A_234865865	1A	360.5269541	385	1A	234865865	373
1A_236005019	1A	360.5269541	386	1A	236005019	378
3A_49697722	1A	365.5726476	387	3A	49697722	1966
3B_728372144	1A	370.4779966	388	3B	728372144	2913
1A_236541820	1A	376.6357054	389	1A	236541820	383
5A_66346792	1A	376.6357054	390	5A	66346792	3904
1B_279131532	1A	379.826065	391	1B	279131532	601
1A_236719891	1A	379.826065	392	1A	236719891	385
3A_54941367	1A	384.8913854	393	3A	54941367	1970
4A_16687555	1A	390.6077143	394	4A	16687555	3070
1B_280808513	1A	396.4272513	395	1B	280808513	606
3B_216641800	1A	402.3517502	396	3B	216641800	2515
1A_237864995	1A	402.3517502	397	1A	237864995	396
1A_237785757	1A	407.9542034	398	1A	237785757	395
1A_238707122	1A	407.9542034	399	1A	238707122	402
1A_238845482	1A	407.9542034	400	1A	238845482	404
1A_238262642	1A	407.9542034	401	1A	238262642	398
1A_238313661	1A	407.9542034	402	1A	238313661	399
1A_237354200	1A	407.9542034	403	1A	237354200	390
1A_237602512	1A	407.9542034	404	1A	237602512	392
1A_237595275	1A	407.9542034	405	1A	237595275	391
1A_239348880	1A	407.9542034	406	1A	239348880	405
1A_237246518	1A	412.5606888	407	1A	237246518	388
1A_237749764	1A	412.5606888	408	1A	237749764	393
1A_238330204	1A	412.5606888	409	1A	238330204	400
1A_237198242	1A	412.5606888	410	1A	237198242	387
1A_237324554	1A	412.5606888	411	1A	237324554	389
1A_238711652	1A	412.5606888	412	1A	238711652	403
1A_239838802	1A	416.1026259	413	1A	239838802	407
1A_242075381	1A	416.1026259	414	1A	242075381	422
1A_239790352	1A	416.1026259	415	1A	239790352	406
1A_240886275	1A	416.1026259	416	1A	240886275	417
1A_237768794	1A	419.2670727	417	1A	237768794	394
1A_243044274	1A	422.4873673	418	1A	243044274	428
1A_243044075	1A	422.4873673	419	1A	243044075	427
1A_241755211	1A	422.4873673	420	1A	241755211	420
1A_242178461	1A	424.9317578	421	1A	242178461	424
1A_243211647	1A	424.9317578	422	1A	243211647	430
1A_240003400	1A	424.9317578	423	1A	240003400	408
1A_242728115	1A	424.9317578	424	1A	242728115	426
1A_240013416	1A	426.8481934	425	1A	240013416	409
1A_241726344	1A	428.8041741	426	1A	241726344	419
1A_240774916	1A	428.8041741	427	1A	240774916	416
1A_240454000	1A	430.7841528	428	1A	240454000	413
1A_242106992	1A	430.7841528	429	1A	242106992	423
1A_242223968	1A	432.8669623	430	1A	242223968	425
1A_240180045	1A	434.6639879	431	1A	240180045	410
1A_241922291	1A	434.6639879	432	1A	241922291	421
1A_240379217	1A	437.2286177	433	1A	240379217	412
1A_240475378	1A	437.2286177	434	1A	240475378	414
1A_241598943	1A	437.2286177	435	1A	241598943	418
1A_243591299	1A	437.2286177	436	1A	243591299	431
1A_243595958	1A	440.9117708	437	1A	243595958	432
1A_245388615	1A	444.3576347	438	1A	245388615	448
1A_244916989	1A	451.1912154	439	1A	244916989	440
1B_294563726	1A	451.1912154	440	1B	294563726	664
1A_238381845	1A	451.1912154	441	1A	238381845	401
1A_243178996	1A	451.1912154	442	1A	243178996	429
1A_244055688	1A	451.1912154	443	1A	244055688	434
1A_244429645	1A	451.1912154	444	1A	244429645	437
1A_245321525	1A	451.1912154	445	1A	245321525	444
1A_245321724	1A	451.1912154	446	1A	245321724	445
1A_245436594	1A	451.1912154	447	1A	245436594	449
3A_175562177	1A	451.1912154	448	3A	175562177	2162
4B_306181543	1A	451.1912154	449	4B	306181543	3790
1A_244002898	1A	451.1912154	450	1A	244002898	433
1A_244412958	1A	451.1912154	451	1A	244412958	436
1A_244773591	1A	451.1912154	452	1A	244773591	439
4B_156237984	1A	451.1912154	453	4B	156237984	3613
1A_244072555	1A	451.1912154	454	1A	244072555	435
1A_244429804	1A	451.1912154	455	1A	244429804	438
1A_246908845	1A	455.5771049	456	1A	246908845	457
1A_245338008	1A	455.5771049	457	1A	245338008	447
1A_245510499	1A	455.5771049	458	1A	245510499	450
1A_245743502	1A	455.5771049	459	1A	245743502	452
1A_246802274	1A	455.5771049	460	1A	246802274	455
1A_246804769	1A	455.5771049	461	1A	246804769	456
1A_247922167	1A	455.5771049	462	1A	247922167	462
1B_290576454	1A	455.5771049	463	1B	290576454	640
1A_246331940	1A	455.5771049	464	1A	246331940	453
1A_245337917	1A	459.626122	465	1A	245337917	446
1A_245673107	1A	462.9631083	466	1A	245673107	451
1A_245044990	1A	465.8270087	467	1A	245044990	441
1A_245198917	1A	465.8270087	468	1A	245198917	442
1A_246636070	1A	468.6334712	469	1A	246636070	454
1A_248261662	1A	471.7079547	470	1A	248261662	463
1A_247073513	1A	471.7079547	471	1A	247073513	458
1A_247462526	1A	474.7045256	472	1A	247462526	460
1A_248346255	1A	474.7045256	473	1A	248346255	464
1B_933848	1B	0	474	1B	933848	467
1A_65310	1B	3.945939765	475	1A	65310	2
1B_2542600	1B	6.380219041	476	1B	2542600	474
1B_2299020	1B	6.380219041	477	1B	2299020	473
1B_1100580	1B	6.380219041	478	1B	1100580	468
1B_2114333	1B	8.017046817	479	1B	2114333	472
1B_1917314	1B	8.017046817	480	1B	1917314	471
1B_3073771	1B	9.38756551	481	1B	3073771	478
1B_1709176	1B	9.38756551	482	1B	1709176	470
4A_200650417	1B	9.38756551	483	4A	200650417	3349
1B_1665193	1B	9.38756551	484	1B	1665193	469
1B_6736598	1B	12.48374396	485	1B	6736598	501
1B_2727083	1B	14.90930279	486	1B	2727083	476
1B_3400766	1B	14.90930279	487	1B	3400766	483
1A_3485317	1B	17.73844657	488	1A	3485317	29
1B_3177475	1B	17.73844657	489	1B	3177475	480
1B_3187169	1B	17.73844657	490	1B	3187169	481
1B_4836848	1B	17.73844657	491	1B	4836848	490
1B_2701721	1B	17.73844657	492	1B	2701721	475
1B_2886014	1B	17.73844657	493	1B	2886014	477
1B_3896487	1B	20.31827991	494	1B	3896487	486
1B_5424611	1B	23.79224255	495	1B	5424611	493
1B_4152223	1B	23.79224255	496	1B	4152223	487
1A_2104229	1B	23.79224255	497	1A	2104229	21
1B_3272967	1B	23.79224255	498	1B	3272967	482
1B_4562513	1B	23.79224255	499	1B	4562513	489
1B_5268067	1B	23.79224255	500	1B	5268067	492
1B_4310733	1B	23.79224255	501	1B	4310733	488
1B_6086977	1B	23.79224255	502	1B	6086977	498
1B_3174090	1B	23.79224255	503	1B	3174090	479
1B_4968844	1B	23.79224255	504	1B	4968844	491
1B_5780559	1B	27.83478058	505	1B	5780559	494
1B_5954621	1B	27.83478058	506	1B	5954621	497
1B_5927190	1B	31.55057467	507	1B	5927190	496
1B_5919587	1B	31.55057467	508	1B	5919587	495
1B_7310960	1B	44.01458467	509	1B	7310960	502
1B_7524705	1B	49.54466344	510	1B	7524705	503
1B_8039025	1B	49.54466344	511	1B	8039025	504
1B_6696221	1B	49.54466344	512	1B	6696221	500
1B_10251415	1B	55.9823716	513	1B	10251415	505
1B_10254760	1B	55.9823716	514	1B	10254760	506
1B_10254881	1B	55.9823716	515	1B	10254881	507
1B_12872168	1B	60.54786723	516	1B	12872168	510
1B_16831549	1B	60.54786723	517	1B	16831549	514
1B_16353747	1B	64.29901831	518	1B	16353747	513
1B_13773032	1B	69.78121521	519	1B	13773032	511
1B_14384581	1B	74.09672766	520	1B	14384581	512
1B_12736377	1B	77.90351182	521	1B	12736377	509
