CDS_name	CGI_begin	CGI_end	CGI_length	CGI_(G+C)_frequency	CGI_CpGo/e_ratio	CGI_start/no-start	dataset	CGI_start-score		
AC005763.PALM	21766	23527	1612	0.721464	0.729723	no-start	train	0.53141341
AC005777.MATK	19484	21186	1546	0.657827	0.741351	start	train	0.47142222
AC005777.MATK	35470	36021	 552	0.731884	0.585380	no-start	train	0.23911585
AC005777.MATK	4328	5467	1037	0.620058	0.603024	no-start	train	0.22496022
AC006273.PTB	10306	11275	 820	0.534146	0.584830	no-start	test	0.14174676
AC006273.PTB	22788	23452	 665	0.604511	0.543516	no-start	train	0.14090689
AC006273.PTB	23871	26745	2633	0.680972	0.779711	start	test	0.69183373
AC006273.PTB	30108	30769	 662	0.583082	0.522821	no-start	test	0.11960645
AC006273.PTB	31619	36513	4839	0.632155	0.684746	no-start	train	0.81155201
AC006273.PTB	38842	43037	4196	0.663659	0.735358	no-start	test	0.81013172
AC006273.PTB	6670	7373	 554	0.597473	0.613646	no-start	test	0.17317676
AC006486.ERF	13312	14276	 940	0.660638	0.589971	no-start	test	0.23264142
AC006486.ERF	17802	19577	1626	0.602091	0.720040	no-start	test	0.40243867
AC006486.ERF	2092	2902	 661	0.636914	0.719830	no-start	train	0.30417611
AC006486.ERF	31638	34000	2128	0.693139	0.669035	start	train	0.50599714
AC006486.ERF	3304	4165	 712	0.613764	0.669562	no-start	train	0.24348408
AC006486.ERF	38204	38765	 562	0.676157	0.576075	no-start	train	0.19436826
AC006486.ERF	6159	7746	1515	0.678548	0.620555	no-start	train	0.34694255
AC006486.GSK3A	22154	23371	1153	0.641804	0.578503	no-start	train	0.23169685
AC006486.GSK3A	27541	28809	1069	0.576239	0.662139	no-start	train	0.24793506
AC006486.GSK3A	2945	4119	 985	0.528934	0.632825	no-start	test	0.18357593
AC006486.GSK3A	29888	32142	2105	0.632779	0.722110	no-start	train	0.50566748
AC006486.PE4	11852	12706	 774	0.581395	0.493141	no-start	train	0.11105965
AC006486.PE4	16039	17379	1295	0.619305	0.684750	start	train	0.33350857
AC006486.PE4	5183	6361	 977	0.671443	0.683419	no-start	test	0.33705208
AC006950.FBL	16598	18194	1360	0.587500	0.697353	start	test	0.32705090
AC006953.PE3	15045	18083	3039	0.593927	0.658279	start	test	0.52768337
AC007192.PIK3R2	11093	12225	1026	0.679337	0.642613	no-start	test	0.30733617
AC007192.PIK3R2	18700	19927	1003	0.660020	0.634740	no-start	test	0.28042229
AC007192.PIK3R2	2493	4546	1743	0.643144	0.750804	no-start	test	0.49715504
AC007192.PIK3R2	5906	6479	 523	0.673040	0.574521	start	test	0.18768901
AC007201.JAK3	13050	13955	 756	0.597884	0.580165	no-start	train	0.16747738
AC007201.JAK3	18402	20035	1634	0.655447	0.554823	no-start	train	0.27430656
AC007201.JAK3	29098	30229	 832	0.616587	0.638115	no-start	test	0.23093652
AC007201.JAK3	398	2159	1718	0.565774	0.782571	no-start	test	0.45373671
AF001689.RPL23A	332	1832	1273	0.525530	0.717343	start	test	0.28350835
AF003529.GPC3	62628	63470	 805	0.501863	0.539062	no-start	test	0.10327544
AF007544.PSM	2291	3305	 966	0.546584	0.697658	start	train	0.24618903
AF010238.VHL	288	1354	 767	0.676662	1.083494	start	train	0.75999372
AF010317.PIG3	5411	6540	1050	0.628571	0.630339	start	train	0.25675065
AF016052.ZNF191	355	1740	1236	0.566343	0.759769	start	train	0.35913806
AF023268.CLK2	1984	2875	 660	0.492424	0.623279	no-start	train	0.13254227
AF023268.CLK2	3328	4135	 808	0.524752	0.468093	no-start	test	0.08242667
AF023268.GBA	19761	21040	1130	0.547788	0.723766	no-start	train	0.29093208
AF023268.GBA	2522	3510	 752	0.583777	0.702366	no-start	test	0.25487897
AF026029.PABP2	528	2302	1633	0.596448	0.678400	no-start	train	0.35089350
AF027148.MYOD1	1686	2525	 840	0.532143	0.532565	no-start	train	0.11409727
AF027152.PE1	278	2793	2516	0.614070	0.658274	start	test	0.47060438
AF030876.MECP2	22848	25015	2056	0.617218	0.787371	start	train	0.56117668
AF030876.MECP2	89839	90374	 536	0.589552	0.603604	no-start	test	0.16050447
AF030876.MECP2	97482	97981	 500	0.528000	0.603171	no-start	test	0.12710731
AF037222.XRCC3	31364	31886	 523	0.510516	0.617300	no-start	test	0.12835361
AF037222.XRCC3	554	2555	1533	0.699935	0.836395	no-start	test	0.62415036
AF038406.NDUFS8	1404	2575	 962	0.623701	0.684119	start	train	0.29421430
AF042836.CBS	14733	15278	 546	0.655678	0.580034	no-start	test	0.18316721
AF042836.CBS	18305	18829	 525	0.603810	0.612500	no-start	test	0.17359216
AF042836.CBS	22894	23821	 928	0.607759	0.587045	no-start	test	0.19333142
AF042836.CBS	27051	27831	 631	0.597464	0.586134	no-start	train	0.16103239
AF042836.CBS	3967	7087	2665	0.663790	0.838683	start	test	0.73943838
AF043105.GSTM3	1329	2797	1469	0.611300	0.724836	start	test	0.39461158
AF049895.CALB1	177609	178441	 833	0.543818	0.545720	start	test	0.12532335
AF049895.NBS1	16574	17775	1202	0.542429	0.882600	start	train	0.47436161
AF050154.APOE	217	758	 542	0.595941	0.581902	no-start	train	0.15059819
AF050154.APOE	5076	6321	1096	0.694343	0.706950	no-start	test	0.40139054
AF051160.PRL-1	1466	3409	1846	0.596966	0.913786	start	test	0.65705656
AF055066.HCG-IX	10673	11328	 656	0.524390	0.620960	no-start	train	0.14641632
AF055066.HCG-IX	29724	32109	2386	0.551632	0.653908	no-start	test	0.38501538
AF055066.HCG-IX	60639	62357	1719	0.643979	0.663194	no-start	test	0.39045294
AF055481.NES1	1889	3156	 968	0.623967	0.773093	no-start	test	0.39159729
AF055575.CACNA1D	1170	3981	2812	0.626835	0.739706	start	test	0.62308747
AF058761.RPMS12	2572	3225	 543	0.569061	0.592198	no-start	train	0.14328427
AF058761.RPMS12	509	1891	1366	0.576867	0.722607	start	test	0.34547119
AF059650.HDAC3	419	2522	2060	0.653398	0.674215	start	test	0.46207847
AF061785.GABRA5	4057	6761	2601	0.640907	0.778574	start	train	0.65073080
AF064861.CHD5	34740	35733	 994	0.611670	0.581318	no-start	test	0.19761972
AF064861.CHD5	37033	37641	 529	0.521739	0.587778	no-start	test	0.11823411
AF064861.HMG-14	63913	66643	2539	0.644348	0.889737	no-start	test	0.75701173
AF067844.PTEN	20268	23579	3102	0.598001	0.735666	start	test	0.63145405
AF080237.ARHGDIG	521	1714	1060	0.734906	0.677722	start	test	0.40174898
AF083655.PCOLCE	5464	7737	1992	0.676707	0.633901	no-start	train	0.42732725
AF092047.SIX3	3161	4354	1106	0.599458	0.752450	no-start	test	0.36409879
AF092047.SIX3	352	2787	2436	0.603662	0.745345	start	test	0.55313837
AF094481.CGGBP	6115	8379	2127	0.582511	0.703868	start	test	0.43643294
AF095703.HADHSC	3639	5061	1423	0.567814	0.813693	start	train	0.44970663
AF097026.AHCP	210	2027	1795	0.602228	0.732226	start	test	0.44133855
AF097732.BCL10	4825	6130	1200	0.603333	0.789474	start	train	0.42374949
AF097738.TNK1	2981	4155	1175	0.686809	0.635604	no-start	test	0.32564839
AF106202.EPCR	2522	4137	1246	0.580257	0.547899	no-start	test	0.17649006
AF107045.RRM1	345	1921	1577	0.562460	0.699666	start	train	0.33559018
AF107256.EPHB6	30813	32493	1617	0.656153	0.666809	start	train	0.39193633
AF107256.EPHB6	40773	41312	 506	0.640316	0.578771	no-start	test	0.16981247
AF108083.BS4	2014	2953	 649	0.644068	0.684019	no-start	train	0.27315908
AF108083.BS4	39329	40331	 840	0.560714	0.712790	start	test	0.25664127
AF111163.MEFV	2540	3638	 802	0.615960	0.646211	no-start	test	0.23429049
AF115382.SLC6A3	7046	9747	2417	0.666115	0.838211	start	test	0.71160284
AF117829.RICK	146492	147846	1355	0.646494	0.706483	start	test	0.39129141
AF117829.RICK	290996	292808	1712	0.603388	0.930784	no-start	train	0.66348265
AF117979.PMX2B	308	4415	4108	0.546509	0.700508	no-start	train	0.68063719
AF120161.RXRB	365	1956	1539	0.605588	0.669146	start	test	0.33658010
AF121781.PE2	16432	17848	1267	0.576953	0.873793	no-start	test	0.50823244
AF121948.TERT	12399	15017	2441	0.715690	0.739036	start	test	0.65448453
AF121948.TERT	7549	8417	 869	0.533947	0.565345	no-start	train	0.13391973
AF124523.PE1	13039	15065	1802	0.689234	0.734811	start	train	0.53312503
AF124523.PE1	38181	39639	1309	0.660046	0.789646	no-start	train	0.49683577
AF124523.PE1	85893	88728	2464	0.620942	0.818521	no-start	train	0.65774987
AF124731.BACH-1	54803	57026	2036	0.608546	0.865981	start	test	0.64077487
AF129075.PE1	105954	107357	1404	0.537749	0.833240	start	train	0.44022183
AF129075.PE1	154291	155504	1214	0.514827	0.735758	no-start	train	0.28568779
AF129075.PE1	160066	161143	 778	0.555270	0.833780	no-start	test	0.36868914
AF129075.PE1	176278	177497	1012	0.528656	0.679385	no-start	test	0.22226263
AF129075.PE1	186038	187115	 866	0.569284	0.678730	no-start	train	0.23541971
AF129075.PE1	19383	19882	 500	0.520000	0.603282	no-start	test	0.12361960
AF130249.PE1	53552	54927	1342	0.554396	0.664052	start	train	0.26368077
AF132033.HOPA	702	2075	1231	0.574330	0.681792	start	test	0.28365018
AF132894.CTSF	758	1842	 905	0.685083	0.725198	start	train	0.38646894
AF146191.FRG1	107543	109112	1168	0.695205	0.731442	no-start	train	0.44146675
AF146191.FRG1	109512	113913	4402	0.621797	0.635492	no-start	test	0.71531172
AF146191.FRG1	114200	116877	2389	0.671411	0.788375	no-start	train	0.66089329
AF146191.FRG1	130480	132080	1458	0.573388	0.621970	no-start	test	0.25262744
AF146191.FRG1	32691	34609	1795	0.576045	0.800855	start	train	0.49747494
AF146191.FRG1	76835	78082	1057	0.674551	0.640404	no-start	test	0.30486224
AF156495.DLG4	15161	16511	1196	0.599498	0.563349	no-start	train	0.19505040
AF156495.DLG4	6342	7439	1031	0.596508	0.628932	no-start	test	0.22959068
AF156495.DLG4	724	1874	1123	0.631345	0.617623	start	test	0.25542888
AF156495.DLG4	9235	10114	 743	0.546433	0.566200	no-start	test	0.13160937
AF157623.PRSS11	16388	19385	2832	0.635946	0.831474	start	test	0.73000157
AF157623.PRSS11	62256	62780	 525	0.567619	0.592497	no-start	train	0.14144614
AF165145.PE1	1397	2829	1407	0.572850	0.668409	start	test	0.29054506
AF165145.PE1	69979	70572	 594	0.491582	0.587426	no-start	train	0.10964544
AF184110.NKTR	720	2229	1316	0.601824	0.847641	start	test	0.50905271
AF186190.DRG1	103251	105599	2123	0.625059	0.729502	start	train	0.50945656
AF189745.DEFB2	10594	11284	 649	0.542373	0.601881	no-start	train	0.14349196
AF189745.DEFB2	12125	13478	1183	0.509721	0.586482	no-start	train	0.15756176
AF189745.DEFB2	22156	22950	 795	0.488050	1.042135	no-start	train	0.55152945
AF189745.DEFB2	24930	25455	 526	0.501901	0.854887	no-start	test	0.30980303
AF189745.DEFB2	2509	4315	1536	0.570312	0.813274	no-start	test	0.46834138
AF189745.DEFB2	26021	26569	 549	0.493625	1.068687	no-start	train	0.55276316
AF189745.DEFB2	26902	29380	2389	0.506907	0.893452	no-start	test	0.62473381
AF189745.DEFB2	32321	33005	 630	0.573016	0.568097	no-start	train	0.13739069
AF189745.DEFB2	5234	7009	1776	0.483634	0.733683	no-start	test	0.32751073
AF189745.DEFB2	58301	59218	 820	0.493902	0.700102	no-start	train	0.19674235
AF189745.DEFB2	9067	10349	1283	0.586126	0.585882	no-start	test	0.21228900
AF191252.PE1	113256	114803	1343	0.578555	0.811184	start	train	0.44572404
AF191252.PE1	38222	40265	1985	0.608060	0.732224	no-start	train	0.47513389
AF191252.PE1	87736	88464	 704	0.580966	0.572385	no-start	train	0.14926001
AF196779.A4	5034	6599	1266	0.656398	0.686447	start	test	0.36554607
AF196779.JM4	1829	2992	1164	0.642612	0.583020	no-start	test	0.23737062
AF196779.SYP	4550	6022	1323	0.638700	0.546770	start	test	0.22031632
AF196779.T54	32640	33609	 820	0.564634	0.727203	start	test	0.27093475
AF196779.T54	54282	55626	1317	0.608200	0.699403	no-start	test	0.34221431
AF196779.T54	74831	75929	 949	0.624868	0.602853	no-start	train	0.21916712
AF196779.TFE3	13420	15129	1521	0.612097	0.776923	start	train	0.46447723
AF196779.TFE3	3476	4774	1278	0.618936	0.629283	no-start	test	0.27451245
AF196969.RBM3	12973	14363	1391	0.546370	0.783139	start	test	0.38814624
AF196969.RBM3	36091	38244	2154	0.584946	0.597333	no-start	train	0.32204362
AF196970.SUV39H	45693	46926	1106	0.553345	0.710271	no-start	train	0.27932701
AF196970.SUV39H	8989	9691	 703	0.611664	0.593943	no-start	train	0.18053050
AF196970.WAS	23544	24888	1345	0.618587	0.676204	no-start	test	0.33028286
AF196971.JM21	31895	33868	1806	0.666113	0.709553	no-start	train	0.47990518
AF196971.JM21	36781	38620	1702	0.639248	0.702071	no-start	train	0.42878082
AF196971.JM21	40293	41882	1503	0.614770	0.744681	no-start	train	0.42606373
AF196971.JM21	95609	96947	1189	0.686291	0.707640	no-start	test	0.40762877
AF196972.EBP	725	2146	1422	0.574543	0.683120	start	train	0.30875541
AF196972.JM23	40230	41626	1180	0.605932	0.686187	no-start	train	0.30839156
AF196972.JM23	7657	9171	1431	0.554158	0.885615	start	test	0.52375037
HA18423.VIP2R	1550	4098	2123	0.617993	0.922539	start	train	0.71943922
HOS223093.PE2	929	1722	 644	0.711180	0.603561	start	test	0.24994657
HS100N22.PE1	12285	13961	1485	0.699663	0.803393	start	test	0.57889623
HS1033B10.PE12	32412	33495	1084	0.627306	0.639477	no-start	train	0.26820477
HS1033B10.PE12	854	1938	1085	0.652535	0.649488	no-start	train	0.29884724
HS1033B10.PE2	137	1715	1557	0.644830	0.686423	start	test	0.39513357
HS1042K10.ADSL	24891	26160	1001	0.584416	0.726943	start	test	0.30919681
HS1042K10.PE4	3703	4938	1086	0.607735	0.873450	no-start	test	0.51211185
HS1055C14.PE2	19308	20871	1419	0.523608	0.802497	start	test	0.39244545
HS1055C14.TCEAL1	10606	12336	1731	0.571924	0.604839	start	train	0.26668521
HS1065O2.PAX1	61890	64842	2953	0.547917	0.644010	no-start	test	0.45138387
HS1065O2.PAX1	65589	68209	2577	0.625534	0.721964	start	test	0.56768913
HS1065O2.PAX1	69567	70563	 997	0.573721	0.589570	no-start	test	0.18048878
HS1065O2.PAX1	74259	75938	1594	0.599749	0.675997	no-start	train	0.34604046
HS1065O2.PAX1	90041	90546	 506	0.500000	0.604958	no-start	test	0.11631432
HS1085F17.PE3	21831	23669	1772	0.689052	0.683671	start	train	0.46683811
HS1085F17.PE3	2720	3501	 632	0.674051	0.635127	no-start	test	0.24905459
HS1085F17.PE3	79328	80506	 822	0.635036	0.910396	no-start	train	0.54508415
HS108K11.PE2	1823	3197	1375	0.531636	0.775726	no-start	test	0.36355323
HS108K11.PE2	48953	49953	 851	0.626322	0.694253	no-start	test	0.29291962
HS109F14.PE3	17824	19795	1972	0.615619	0.761007	start	test	0.51558025
HS109F14.PE3	1941	3371	1281	0.642467	0.748946	no-start	train	0.42631013
HS109F14.PPARD	16166	17460	1176	0.609694	0.713825	start	test	0.34044525
HS1104E15.ATF4	14155	15228	 794	0.659950	0.708929	no-start	test	0.33000257
HS1104E15.ATF4	16431	17137	 572	0.648601	0.598639	no-start	train	0.19491695
HS1104E15.ATF4	27456	28457	 899	0.531702	0.615624	no-start	train	0.16587180
HS1104E15.ATF4	39092	40801	1566	0.674330	0.694519	no-start	train	0.43485579
HS1104E15.MGAT3	27996	29891	1896	0.655063	0.733563	no-start	test	0.51105252
HS1104E15.PE2	12987	14371	1235	0.635628	0.625463	no-start	test	0.27922792
HS1170K4.PE1	21344	22315	 785	0.644586	0.593573	no-start	train	0.20869171
HS1170K4.PE1	3884	5178	1109	0.652840	0.655845	start	test	0.30860928
HS1170K4.PE3	29804	30579	 714	0.652661	0.553960	no-start	train	0.17746706
HS1177I5.MSE55	51329	53299	1817	0.702256	0.763393	start	test	0.58231783
HS1177I5.MSE55	9856	11572	1425	0.684912	0.730097	no-start	test	0.46729664
HS117P20.SELE	17282	18576	1295	0.523552	0.688920	no-start	train	0.25742912
HS1183I21.PE1	5869	7811	1867	0.592394	0.764963	start	train	0.48133622
HS126A5.PE4	20854	23619	2701	0.647538	0.872551	start	train	0.76174475
HS126A5.PE4	25554	26056	 503	0.634195	0.613077	no-start	test	0.19034396
HS126A5.PE4	2981	3978	 887	0.533258	0.604310	no-start	test	0.15833851
HS126A5.PE4	31443	31947	 505	0.631683	0.596222	no-start	test	0.17680258
HS126A5.PE4	9082	12565	3084	0.674449	0.840516	no-start	train	0.79303973
HS126B4.PE1	129200	130058	 559	0.669052	0.753458	start	train	0.35535784
HS134P22.PE1	42109	43200	1007	0.677259	0.580628	start	train	0.24385299
HS134P22.PE1	58917	59729	 695	0.553957	0.526430	no-start	test	0.11135927
HS137H15.ZIC3	46003	46920	 871	0.541906	0.547504	no-start	train	0.12791199
HS137H15.ZIC3	47740	49168	1400	0.557143	0.672085	no-start	train	0.28036755
HS137H15.ZIC3	49383	52208	2781	0.561668	0.689279	no-start	train	0.49430890
HS137H15.ZIC3	64087	65075	 899	0.568409	0.579927	no-start	train	0.16257655
HS137H15.ZIC3	65868	70558	4237	0.598773	0.835024	start	train	0.84477935
HS137H15.ZIC3	74031	76222	2192	0.594434	0.759207	no-start	test	0.52457637
HS148E22.HS1	40709	41750	 892	0.602018	0.768090	start	test	0.35467305
HS149A16.PE6	34716	35732	1017	0.505408	0.755045	start	train	0.27326778
HS14O9.DJ14O9.2	10826	12257	1432	0.596369	0.595110	no-start	test	0.24289358
HS150O5.E2F2	74568	75714	 997	0.656971	0.756832	no-start	train	0.40889995
HS150O5.ID3	10942	12248	1162	0.605852	0.662658	no-start	test	0.28245969
HS150O5.ID3	17026	17747	 612	0.477124	0.552137	no-start	test	0.09008377
HS150O5.ID3	24203	25805	1399	0.633310	0.680346	no-start	train	0.35540515
HS151B14.SSTR3	16005	17547	1279	0.650508	0.677436	no-start	train	0.35182935
HS151B14.SSTR3	32994	33695	 702	0.626781	0.522246	no-start	test	0.14202845
HS151B14.SSTR3	7921	9145	1189	0.669470	0.624147	no-start	test	0.30046541
HS15E1.COX6A2	17406	18663	1079	0.572753	0.745876	start	train	0.32885873
HS15E1.SRP30C	7057	9335	1931	0.609011	0.809836	start	test	0.56148214
HS163M9.EIF-4C	14244	15078	 564	0.544326	0.705882	no-start	test	0.20970323
HS163M9.EIF-4C	26728	27543	 666	0.528529	0.651090	no-start	test	0.16871087
HS163M9.EIF-4C	29202	30321	1047	0.525310	0.747293	no-start	test	0.28550848
HS163M9.EIF-4C	46459	47957	1189	0.687132	0.676945	no-start	train	0.37316999
HS163M9.EIF-4C	53190	55695	2397	0.706300	0.652493	no-start	train	0.53910470
HS163M9.EIF-4C	60336	62921	2548	0.689168	0.784153	no-start	test	0.69273162
HS163M9.EIF-4C	68284	69203	 882	0.478458	0.758332	start	train	0.24026800
HS164F3.GLA	3136	4373	1238	0.515347	0.705614	start	train	0.26005229
HS167A19.DIO1	500	1376	 727	0.554333	0.860355	no-start	train	0.39090810
HS167A19.PE4	4840	7085	1920	0.647917	0.689311	start	train	0.45407970
HS179M20.DIFF3	87260	88420	 888	0.622748	0.872916	no-start	train	0.49730597
HS179M20.DIFF3	97285	98561	1182	0.540609	0.625311	start	train	0.20348854
HS179N16.PE3	29899	30877	 868	0.582949	0.576106	no-start	train	0.16558838
HS179N16.PE3	33034	34967	1763	0.609756	0.745103	start	test	0.45957327
HS179N16.SAPK4	21471	22622	 902	0.664080	0.673780	start	train	0.31061588
HS191N21.PDCD2	26661	27630	 934	0.494647	1.026276	no-start	train	0.55954326
HS191N21.PDCD2	29047	29908	 712	0.519663	0.658944	no-start	test	0.17286776
HS191N21.PDCD2	54465	55799	1297	0.613724	0.789154	start	train	0.44783070
HS191N21.PE4	3366	4372	1007	0.509434	0.766339	start	test	0.28634514
HS191N21.TBP	712	1875	1014	0.545365	0.717246	no-start	train	0.26876342
HS193G15.RGS12	11723	13350	1628	0.539312	0.685412	no-start	train	0.30677814
HS193G15.RGS12	18486	19358	 573	0.544503	0.591575	no-start	test	0.13321821
HS193G15.RGS12	2315	3113	 799	0.520651	0.572508	no-start	test	0.12704011
HS193G15.RGS12	3374	4197	 741	0.603239	0.530411	no-start	test	0.13809822
HS196E23.PE3	4062	5789	1655	0.588520	0.976940	start	train	0.69166162
HS199H16.DMC1	28152	29938	1581	0.557875	0.707255	no-start	train	0.34017394
HS1J6.TOP1	11999	14004	1737	0.620610	0.837152	start	test	0.57713821
HS202O8.PE1	20087	21650	1260	0.669048	0.680920	no-start	test	0.37040544
HS202O8.PE1	27117	29603	2277	0.700922	0.604425	no-start	test	0.45802106
HS202O8.PE2	19603	20256	 594	0.537037	0.656613	no-start	train	0.17130762
HS206D15.PE2	38046	38865	 820	0.487805	0.696633	start	train	0.19028049
HS206D15.PE2	4871	5824	 892	0.523543	0.638054	no-start	test	0.17595932
HS20B11.PE1	48859	49507	 649	0.550077	0.597166	no-start	train	0.14452432
HS20B11.PE1	51076	52636	1561	0.511851	0.798019	no-start	test	0.39602698
HS20B11.PE1	63940	64630	 541	0.510166	0.701269	no-start	test	0.18231394
HS20I3.DJ20I3.1	35799	36987	 962	0.561331	0.740456	start	train	0.29837239
HS20I3.DJ20I3.1	97995	99201	1194	0.545226	0.676360	no-start	train	0.25119087
HS20N2.DJ20N2.5	1768	3061	1258	0.572337	0.689374	start	train	0.29279269
HS20N2.PEX3	11413	12618	1206	0.558043	0.683093	start	train	0.26878152
HS212A2.PE1	105792	106934	 993	0.593152	0.675744	no-start	test	0.26491027
HS212A2.PE1	142858	144729	1593	0.640929	0.764863	no-start	train	0.48966824
HS212A2.PE1	47836	48738	 603	0.577114	0.599137	no-start	train	0.15621884
HS212G6.ELK1	58276	59544	1119	0.575514	0.756899	no-start	test	0.34859164
HS212G6.ELK1	66506	68283	1699	0.585050	0.646267	start	train	0.31490382
HS212G6.PFC	12542	13650	1056	0.555871	0.615385	no-start	train	0.19379311
HS215D11.PE1	2391	3685	1139	0.546971	0.833529	no-start	train	0.41128748
HS215D11.PE1	9780	11198	1269	0.582348	0.881836	start	test	0.52367767
HS215D11.PE2	30191	31956	1563	0.655790	0.989256	no-start	test	0.74741109
HS216E10.NHP2L1	19993	21478	1258	0.562003	0.755695	no-start	train	0.35359042
HS216E10.NHP2L1	26386	27483	 798	0.536341	0.768736	start	train	0.28562954
HS216E10.NHP2L1	8867	10157	1121	0.638715	0.720194	no-start	test	0.36683821
HS222E13.DIA1	11879	12805	 627	0.709729	0.787364	start	test	0.44348702
HS222E13.DIA1	37598	38161	 564	0.579787	0.593684	no-start	test	0.15119198
HS222E13.DIA1	45963	46751	 789	0.485425	0.796187	no-start	test	0.26986396
HS224A6.CDC42	12500	13800	1070	0.568224	0.590540	no-start	train	0.18432543
HS224A6.CDC42	39761	41349	1319	0.639879	0.844658	no-start	test	0.54424688
HS228H13.PE3	8115	9575	1314	0.629376	0.611052	no-start	train	0.26965798
HS228H13.PE3	84308	85671	1214	0.572488	0.781811	start	test	0.38678850
HS250D10.NAGA	2877	3903	1027	0.702045	0.612873	no-start	test	0.29653621
HS250D10.NAGA	6171	7442	1122	0.622103	0.640342	start	train	0.26931785
HS25J6.RFP	24662	25189	 528	0.492424	0.593750	no-start	train	0.10914199
HS25J6.RFP	28187	28704	 518	0.501931	0.617438	no-start	test	0.12426976
HS25J6.RFP	44680	46442	1613	0.633602	0.834742	start	test	0.56916138
HS262D12.PE2	31518	33084	1417	0.568102	0.656732	no-start	train	0.27639556
HS262D12.PE2	53530	54449	 770	0.541558	0.665312	start	train	0.19595444
HS268D13.SEZ6L	90531	91387	 768	0.498698	0.502700	no-start	train	0.08535519
HS271M21.PE3	281	1593	1088	0.653493	0.604093	start	train	0.25608607
HS271M21.PE7	19675	21134	1348	0.597181	0.751207	no-start	train	0.39427107
HS273N12.PE2	10910	11764	 855	0.583626	0.591648	no-start	test	0.17550297
HS273N12.PE2	12087	14870	2645	0.545558	0.696907	no-start	train	0.46713111
HS273N12.PE2	16151	17324	1174	0.623509	0.570180	no-start	train	0.21408389
HS27K12.GLCLC	72098	73254	1111	0.564356	0.692516	no-start	train	0.27168714
